perovskites_id,TMDs,BandGap
15,MoS2,1.2501
20,MoS2,1.2786
47,MoS2,-0.0557
73,MoS2,0.0107
82,MoS2,1.5874
90,MoS2,0.5396
96,MoS2,0.4688
112,MoS2,1.0429
113,MoS2,1.112
114,MoS2,1.0375
115,MoS2,1.1025
116,MoS2,1.0424
118,MoS2,1.0999
130,MoS2,0.0068
142,MoS2,-0.0165
143,MoS2,0.7638
150,MoS2,0.0322
250,MoS2,0.6431
264,MoS2,-0.0415
303,MoS2,0.0065
310,MoS2,0.0034
327,MoS2,0.0016
331,MoS2,-0.0104
353,MoS2,-0.1672
355,MoS2,-0.0121
366,MoS2,-0.0083
400,MoS2,0.0069
411,MoS2,0.9917
415,MoS2,-0.0886
422,MoS2,0.9074
435,MoS2,0.1157
538,MoS2,0.0276
546,MoS2,0.0145
555,MoS2,-0.0105
589,MoS2,1.3666
592,MoS2,1.81
594,MoS2,-0.0005
598,MoS2,1.5613
609,MoS2,0.0166
627,MoS2,-0.2292
649,MoS2,0.2346
659,MoS2,-0.0975
665,MoS2,1.0701
668,MoS2,-0.1073
688,MoS2,1.2057
689,MoS2,1.219
703,MoS2,-0.194
740,MoS2,1.4954
744,MoS2,0.6768
748,MoS2,-0.1496
758,MoS2,1.5968
781,MoS2,-0.1056
800,MoS2,1.1162
804,MoS2,1.1254
805,MoS2,1.3932
806,MoS2,1.0683
812,MoS2,0.5965
817,MoS2,0.7576
825,MoS2,0.73
837,MoS2,-0.099
841,MoS2,0.65
15,MoSe2,1.4906
20,MoSe2,1.4496
47,MoSe2,-0.0547
56,MoSe2,1.5221
73,MoSe2,1.4829
77,MoSe2,0.9367
80,MoSe2,1.1674
81,MoSe2,1.5128
82,MoSe2,1.49
90,MoSe2,1.3928
96,MoSe2,1.5067
112,MoSe2,1.4517
113,MoSe2,1.4503
114,MoSe2,1.4638
115,MoSe2,1.4551
116,MoSe2,1.4521
118,MoSe2,1.4481
130,MoSe2,1.4077
138,MoSe2,-0.0742
142,MoSe2,-0.0033
143,MoSe2,1.3998
264,MoSe2,-0.0853
310,MoSe2,-0.0007
318,MoSe2,1.4111
327,MoSe2,1.2296
331,MoSe2,1.3652
353,MoSe2,-0.213
366,MoSe2,-0.0353
400,MoSe2,-0.0113
411,MoSe2,1.5307
415,MoSe2,-0.1541
422,MoSe2,1.5175
435,MoSe2,0.9862
538,MoSe2,0.0047
546,MoSe2,1.2332
549,MoSe2,-0.0003
554,MoSe2,0.8267
555,MoSe2,1.4166
589,MoSe2,1.4593
592,MoSe2,1.4643
594,MoSe2,1.3067
598,MoSe2,1.4416
603,MoSe2,1.4897
604,MoSe2,1.4201
608,MoSe2,-0.0694
609,MoSe2,0.0435
627,MoSe2,-0.0028
649,MoSe2,0.0072
659,MoSe2,0.3572
665,MoSe2,1.5277
688,MoSe2,1.4868
689,MoSe2,1.4855
703,MoSe2,-0.1087
740,MoSe2,1.4416
744,MoSe2,1.4558
748,MoSe2,0.0752
758,MoSe2,1.4495
800,MoSe2,1.4273
804,MoSe2,1.4109
805,MoSe2,0.7059
837,MoSe2,-0.08
841,MoSe2,1.5347
4,MoTe2,0.9894
15,MoTe2,0.9797
20,MoTe2,0.9821
47,MoTe2,-0.0053
56,MoTe2,0.9961
73,MoTe2,0.8568
80,MoTe2,1.0756
81,MoTe2,1.0413
82,MoTe2,0.9661
90,MoTe2,0.9344
96,MoTe2,0.9835
112,MoTe2,0.8424
113,MoTe2,0.8911
114,MoTe2,0.8079
115,MoTe2,0.9051
116,MoTe2,0.7871
118,MoTe2,0.9159
130,MoTe2,0.844
142,MoTe2,-0.0068
143,MoTe2,0.8284
264,MoTe2,-0.0836
303,MoTe2,0.0961
318,MoTe2,0.8412
327,MoTe2,0.8593
331,MoTe2,1.0827
411,MoTe2,1.0391
415,MoTe2,-0.1766
422,MoTe2,0.8682
425,MoTe2,-0.0166
435,MoTe2,0.2218
530,MoTe2,0.0007
546,MoTe2,0.8178
548,MoTe2,-0.0007
549,MoTe2,0.0005
554,MoTe2,0.1837
555,MoTe2,0.7179
561,MoTe2,-0.0999
589,MoTe2,0.7937
592,MoTe2,0.8862
594,MoTe2,0.7591
598,MoTe2,0.7245
603,MoTe2,1.0124
614,MoTe2,0.0031
627,MoTe2,0.2855
649,MoTe2,0.0106
678,MoTe2,0.0075
740,MoTe2,0.662
744,MoTe2,0.8774
781,MoTe2,0.0203
800,MoTe2,0.6637
804,MoTe2,0.6461
805,MoTe2,-0.5249
825,MoTe2,1.1135
4,WS2,1.4907
15,WS2,1.6032
20,WS2,1.7526
56,WS2,1.5149
80,WS2,0.6356
81,WS2,1.5475
82,WS2,1.8739
90,WS2,0.9631
96,WS2,1.2872
112,WS2,1.6116
113,WS2,1.6057
114,WS2,1.6285
115,WS2,1.6084
116,WS2,1.6119
118,WS2,1.6105
130,WS2,1.2477
135,WS2,0.004
142,WS2,-0.0041
143,WS2,1.2776
250,WS2,1.0061
264,WS2,-0.075
303,WS2,0.5404
310,WS2,0.0067
326,WS2,-0.0764
327,WS2,0.6916
331,WS2,0.9861
349,WS2,-0.0433
355,WS2,-0.026
366,WS2,-0.028
411,WS2,1.3502
415,WS2,-0.0864
422,WS2,1.3007
425,WS2,0.0275
435,WS2,1.6569
546,WS2,0.8489
549,WS2,0.0008
554,WS2,-0.0953
555,WS2,-0.1994
561,WS2,0.2091
589,WS2,1.8738
594,WS2,1.2452
598,WS2,1.9003
603,WS2,1.2842
604,WS2,1.9145
608,WS2,-0.0178
609,WS2,0.0216
627,WS2,-0.2827
665,WS2,1.7844
678,WS2,0.0215
688,WS2,1.6018
689,WS2,1.5967
740,WS2,1.8774
744,WS2,1.9207
758,WS2,1.8967
781,WS2,-0.0016
804,WS2,1.5268
805,WS2,1.5892
841,WS2,1.5947
4,WSe2,1.5932
15,WSe2,1.5576
20,WSe2,1.228
47,WSe2,-0.0563
56,WSe2,1.582
77,WSe2,0.8239
80,WSe2,1.4815
81,WSe2,1.4947
82,WSe2,1.3371
90,WSe2,1.5996
96,WSe2,1.5731
113,WSe2,1.5359
114,WSe2,1.5312
115,WSe2,1.5351
116,WSe2,1.5159
118,WSe2,1.5366
130,WSe2,1.5535
135,WSe2,0.5396
138,WSe2,-0.0859
142,WSe2,-0.0036
143,WSe2,1.5527
150,WSe2,1.5505
264,WSe2,-0.0683
318,WSe2,1.5502
331,WSe2,1.56
366,WSe2,-0.0411
411,WSe2,1.6399
415,WSe2,-0.1434
422,WSe2,1.5865
435,WSe2,0.7407
538,WSe2,0.0018
546,WSe2,1.5101
549,WSe2,-0.0003
555,WSe2,1.238
589,WSe2,1.3809
592,WSe2,1.5249
598,WSe2,1.4928
603,WSe2,1.5571
609,WSe2,0.0614
627,WSe2,0.0074
659,WSe2,0.5808
665,WSe2,1.604
688,WSe2,1.5562
689,WSe2,1.5463
703,WSe2,-0.1247
740,WSe2,1.5114
744,WSe2,1.5167
748,WSe2,0.1207
758,WSe2,1.4089
804,WSe2,1.4718
805,WSe2,0.9979
809,WSe2,1.4399
4,WTe2,1.134
20,WTe2,0.9832
47,WTe2,0.0077
56,WTe2,1.0614
73,WTe2,1.0968
80,WTe2,1.1484
81,WTe2,1.1358
82,WTe2,1.1196
90,WTe2,1.1237
113,WTe2,1.0997
114,WTe2,1.0531
115,WTe2,1.0948
118,WTe2,1.0951
130,WTe2,1.1014
135,WTe2,0.0018
143,WTe2,1.0794
318,WTe2,1.1094
326,WTe2,0.0219
327,WTe2,0.4454
331,WTe2,0.9341
411,WTe2,1.0146
422,WTe2,1.059
425,WTe2,-0.0331
435,WTe2,0.3376
530,WTe2,0.0271
538,WTe2,0.01
546,WTe2,1.0649
549,WTe2,-0.0037
554,WTe2,0.521
589,WTe2,0.8264
592,WTe2,1.1078
603,WTe2,1.0876
604,WTe2,0.9408
627,WTe2,0.246
665,WTe2,1.1552
678,WTe2,0.0074
688,WTe2,1.1164
689,WTe2,1.1213
744,WTe2,1.0846
800,WTe2,0.9498
804,WTe2,0.8637
805,WTe2,-0.0663
825,WTe2,0.1152
4,MoSSe,1.6883
15,MoSSe,1.6443
20,MoSSe,1.6456
56,MoSSe,1.685
73,MoSSe,1.631
80,MoSSe,0.9936
81,MoSSe,1.6652
82,MoSSe,1.6283
90,MoSSe,1.3037
96,MoSSe,1.5557
112,MoSSe,1.6314
113,MoSSe,1.6401
114,MoSSe,1.6231
115,MoSSe,1.631
116,MoSSe,1.6214
118,MoSSe,1.6358
130,MoSSe,1.3997
135,MoSSe,0.1678
142,MoSSe,-0.0001
143,MoSSe,1.3661
250,MoSSe,1.1716
264,MoSSe,-0.0557
303,MoSSe,0.5932
318,MoSSe,1.3931
327,MoSSe,1.1413
331,MoSSe,1.2546
349,MoSSe,-0.0813
400,MoSSe,-0.0252
411,MoSSe,1.5452
412,MoSSe,0.1407
415,MoSSe,-0.1156
422,MoSSe,1.5726
432,MoSSe,1.5534
435,MoSSe,1.1002
538,MoSSe,0.7985
546,MoSSe,1.1538
549,MoSSe,0.0136
555,MoSSe,1.5599
589,MoSSe,1.6294
594,MoSSe,1.3512
598,MoSSe,1.588
603,MoSSe,1.5127
604,MoSSe,1.5994
609,MoSSe,0.0421
659,MoSSe,0.1032
665,MoSSe,1.65
688,MoSSe,1.6379
689,MoSSe,1.649
703,MoSSe,-0.2448
740,MoSSe,1.6205
744,MoSSe,1.6136
748,MoSSe,0.021
758,MoSSe,1.6119
800,MoSSe,1.5094
804,MoSSe,1.5325
