id,Compound,Number of layers,Space group,Struct. type,DJorRP,LSF t1,LSF t2,"Eg (calc.), eV","Optical Eg (exp.), eV",Spacer (interlayer) cation,Intralayer cation,M-X-M angles distribution,M-X bonds in octahedra,CIF,Reference,
1,[CH3(CH2)3NH3]2PbI4,1,Pbca,100,RP,0.49,0.5,1.99,2.3,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm9505097
2,[CH3(CH2)3NH3]2SnI4,1,Pbca,100,RP,0.49,0.5,1.8,None,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm9505097
3,[CH3(CH2)3NH3]2GeI4,1,Pnma,100,else,0.45,0.48,2.11,None,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/cm9505097
4,[CH3(CH2)3NH3]2PbBr4,1,Pbca,100,RP,0.49,0.5,2.82,2.92,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/acs.jpcc.9b01550
5,[CH3(CH2)3NH3]2[CH3NH3]Pb2I7,2,Cmcm(Cccm),100,RP,0.5,0.5,1.97,1.96,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b00847
6,[CH3(CH2)3NH3]2[CH3NH3]2Pb3I10,3,Cmca(Acam),100,RP,0.5,0.5,1.96,1.86,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b00847
7,[CH3(CH2)3NH3]2[CH3NH3]3Pb4I13,4,Cmcm(Acam),100,RP,0.5,0.5,1.85,1.96,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b00847
8,[CH3(CH2)3NH3]2[CH3NH3]Pb2I7,2,Ama2,100,RP,0.5,0.5,1.98,1.96,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/acs.chemmater.6b00847
9,[CH3(CH2)3NH3]2[CH3NH3]4Pb5I16,5,CmcaAcam),100,RP,0.5,0.5,1.86,1.6,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1016/j.chempr.2017.02.004
10,[CH3(CH2)3NH3]2[CH3NH3]4Pb5I16,5,Aba2(C2cb),100,RP,0.48,0.48,1.97,1.6,Butylammonium,Methylammonium,*.dia,*.dia,CIF,doi:,10.1016/j.chempr.2017.02.004
11,[CH3CH2NH3]4Pb3Cl10,3,Cmc21,100,else,0.46,0.48,2.64,None,Ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1524/ncrs.1997.212.1.241
12,[CH3(CH2)2NH3]2MnCl4,1,Cmca,100,RP,0.49,0.5,None,None,Propylammonium,None,*.dia,*.dia,CIF,doi:,10.1063/1.1677469
13,[CH3CH2NH3]4Pb3Br10,3,Aba2(C2cb),100,RP,0.49,0.49,2.61,2.75,Ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.7b06143
14,[CH3CH2NH3]4Pb3Cl10,3,Cmc21(A21ma),100,else,0.46,0.48,3.31,3.45,Ethylammonium,None,*.dia,*.dia,CIF,doi:,10.1021/jacs.7b06143
15,[CH3(CH2)3NH3]2PbI4,1,Pbca,100,else,0.47,0.5,2.29,None,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1107/S0108768107031758
16,[CH3(CH2)3NH3]2PbI4,1,Pbca,100,RP,0.49,0.5,2.27,None,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1107/S0108768107031758
17,[CH3(CH2)4NH3]2PbI4,1,P21/c(P21/a),100,else,0.31,0.33,2.37,None,Pentylammonium,None,*.dia,*.dia,CIF,doi:,10.1107/S0108768107031758
18,[CH3(CH2)4NH3]2PbI4,1,P21/c(P21/a),100,else,0.3,0.3,2.32,None,Pentylammonium,None,*.dia,*.dia,CIF,doi:,10.1107/S0108768107031758
19,[CH3(CH2)4NH3]2PbI4,1,Pbca,100,RP,0.48,0.5,2.29,None,Pentylammonium,None,*.dia,*.dia,CIF,doi:,10.1107/S0108768107031758
20,[CH3(CH2)5NH3]2PbI4,1,P21/c(P21/a),100,else,0.06,0.06,2.28,None,Hexylammonium,None,*.dia,*.dia,CIF,doi:,10.1107/S0108768107031758
21,[CH3(CH2)5NH3]2PbI4,1,Pbca,100,RP,0.49,0.5,2.29,None,Hexylammonium,None,*.dia,*.dia,CIF,doi:,10.1107/S0108768107031758
22,[CH3(CH2)6NH3]2PbI4,1,P21/c(P21/a),100,else,0.23,0.24,2.31,None,Heptylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
23,[CH3(CH2)6NH3]2PbI4,1,Pbca,100,RP,0.48,0.5,2.26,None,Heptylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
24,[CH3(CH2)6NH3]2PbI4,1,Pbca,100,RP,0.49,0.5,2.29,None,Heptylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
25,[CH3(CH2)7NH3]2PbI4,1,P21/c(P21/a),100,else,0.23,0.24,2.38,None,Octylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
26,[CH3(CH2)7NH3]2PbI4,1,Pbca,100,RP,0.48,0.5,2.28,None,Octylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
27,[CH3(CH2)8NH3]2PbI4,1,Cmca(Acam),100,RP,0.5,0.5,2.12,None,Nonylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
28,[CH3(CH2)8NH3]2PbI4,1,P21/c(P21/a),100,else,0.25,0.25,2.35,None,Nonylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
29,[CH3(CH2)8NH3]2PbI4,1,Pbca,100,RP,0.48,0.5,2.27,None,Nonylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
30,[CH3(CH2)8NH3]2PbI4,1,P21/c(P21/a),100,else,0.25,0.27,2.39,None,Decylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
31,[CH3(CH2)9NH3]2PbI4,1,Pbca,100,RP,0.48,0.5,2.39,None,Decylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
32,[CH3(CH2)9NH3]2PbI4,1,Pbca,100,RP,0.48,0.5,2.39,None,Decylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
33,[CH3(CH2)9NH3]2PbI4,1,Pbca,100,RP,0.48,0.5,2.28,None,Decylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
34,[CH3(CH2)9NH3]2PbI4,1,Pbca,100,RP,0.48,0.5,2.28,None,Decylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
35,[CH3(CH2)9NH3]2PbI4,1,Pbca,100,RP,0.5,0.5,2.16,None,Decylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/C0DT01805H
36,[NH3(CH2)6NH3]PbI4,1,P21/c,100,else,0.38,0.41,2.42,2.4,"1,6-hexanediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/a906161d
37,[NH3(CH2)6NH3]PbBr4,1,P21/c,100,else,0.39,0.4,2.42,2.99,"1,6-hexanediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/a906161d
38,[NH3(CH2)6NH3]PbI4,1,P21/c,100,else,0.38,0.41,2.28,2.44,"1,6-hexanediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/c6ta05055g
39,[NH3(CH2)8NH3]PbI4,1,P21/c,100,else,0.43,0.47,2.34,2.55,"1,8-octanediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/c6ta05055g
40,[NH3(CH2)12NH3]PbI4,1,P21/c,100,DJ,0,0,2.32,2.43,"1,12-dodecanediammonium",None,*.dia,*.dia,CIF,doi:,10.1016/j.matchemphys.2010.07.037
41,[NH3(CH2)4NH3]PbBr4,1,P-1,100,else,0.16,0.31,2.76,None,"1,4-butyldiamine",None,*.dia,*.dia,CIF,doi:,10.1039/c2ce06498g
42,[NH3(CH2)4NH3]PbI4,1,C2/c,100,else,0.18,0.22,2.2,None,"1,4-butyldiamine",None,*.dia,*.dia,CIF,doi:,10.1039/c2ce06498g
43,[NH3(CH2)7NH3]4Pb3I14,None,P-1,None,None,None,None,2.17,None,"1,7-heptanediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/c2ce06498g
44,[NH3(CH2)8NH3]PbI4,1,P21/c,100,else,0.44,0.47,2.37,None,"1,8-octanediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/c2ce06498g
45,[NH3(CH2)10NH3]PbBr4,1,P21/c,100,else,0.2,0.22,2.84,None,"1,10-decanediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/c2ce06498g
46,[NH3(CH2)12NH3]PbI4,1,P21/c,100,DJ,0.01,0.01,2.36,None,"1,12-dodecanediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/c2ce06498g
47,[NH3C10H6NH3]PbI4,1,P21/c,100,DJ,0.01,0.01,2.29,None,"Naphthalene-1,5-diamine",None,*.dia,*.dia,CIF,doi:,10.1039/c2ce06498g
48,[[NH3(CH2)2NH3]4Pb2Br9]Br3,None,P21/c,None,DJ,0,0,2.8,None,"1,2-ethanediammonium",None,*.dia,*.dia,CIF,doi:,10.1039/c2ce06498g
49,[NH3C6H4CH2C6H4NH3]PbI6,None,Fdd2,None,None,None,None,2.23,None,"Diphenylmethane - 4,4'-diammonium",None,*.dia,*.dia,CIF,doi:,10.1039/c2ce06498g
50,[NH3(CH2)8NH3][CH3NH3]Pb2I7,2,Cc,100,RP,0.5,0.5,1.94,2.02,"1,8-octanediammonium",Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
51,[NH3(CH2)8NH3][CH3NH3]2Pb3I10,3,Pc,100,RP,0.5,0.5,1.88,1.83,"1,8-octanediammonium",Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
52,[NH3(CH2)8NH3][CH3NH3]3Pb4I14,4,Cc,100,RP,0.5,0.5,1.82,1.7,"1,8-octanediammonium",Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
53,[NH3(CH2)9NH3]PbI4,1,Cc,100,else,0.42,0.42,2.29,2.27,"1,9-nonanediammonium",None,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
54,[NH3(CH2)9NH3][CH3NH3]Pb2I7,2,Cc,100,RP,0.5,0.5,1.92,1.96,"1,9-nonanediammonium",Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
55,[NH3(CH)9NH3][CH3NH3]2Pb3I10,3,Pc,100,RP,0.5,0.5,1.87,1.81,"1,9-nonanediammonium",Methylammonium,*.dia,*.dia,CIF,doi:,10.1021/jacs.8b07712
56,[CH3(CH2)3NH3]2PbBr4,1,Pbca,100,RP,0.49,0.5,2.82,3.07,Butylammonium,None,*.dia,*.dia,CIF,doi:,10.1039/c7sc01590a
